Journal Name,Journal Absract
MULTIMEDIA TOOLS AND APPLICATIONS,"Multimedia Tools and Applications publishes original research articles on multimedia development and system support tools, and case studies of multimedia applications. Experimental and survey articles are appropriate for the journal. The journal is intended for academics, practitioners, scientists and engineers who are involved in multimedia system research, design and applications. All papers are peer reviewed.

Specific areas of interest include (but are not limited to): 
Multimedia Tools:
Multimedia application enabling software
System software support for multimedia
Hypermedia
Performance measurement tools for multimedia
Multimedia authoring tools
System hardware support for multimedia
Multimedia databases and retrieval
Web tools and applications 
Multimedia Applications:
Prototype multimedia systems and platforms 
Multimedia on information superhighways
Home
Video on-demand
Interactive TV
Home shopping
Remote home care
Electronic album
Personalized electronic journals
Education and Training 
Computer aided instruction
Distance and interactive training
Multimedia encyclopedias
Interactive training on the web 
Operations 
Command and control
Process control
CAD/CAM
Air traffic control
On-line monitoring
Multimedia security systems
Public 
Digital libraries
Electronic museum
Networked kiosk systems (medical, legal, banking, shopping, tourist) 
Business Office 
Executive information systems
Remote consulting systems
Video conferencing
Multimedia mail
Multimedia documents
Advertising
Collaborative work
Electronic publishing
Visual Information Systems "
NATURAL COMPUTING,"Natural Computing is a general term referring to computing going on in nature and computing inspired by nature. When complex phenomena going on in nature are viewed as computational processes, our understanding of these phenomena and of the essence of computation is enhanced. In this way one gains valuable insights into both natural sciences and computer science. Characteristic for man-designed computing inspired by nature is the metaphorical use of concepts, principles and mechanisms underlying natural systems. This type of computing includes evolutionary algorithms, neural networks, molecular computing and quantum computing.  

The aim of the journal is (1) to provide a publication forum for, and to foster links and mutual understanding between researchers from various areas of natural computing, (2) to give researchers in natural sciences and computer science an insight into research trends in natural computing. The research in natural computing is concerned with theory, experiments, and applications, and the journal reports on each of these research lines. Moreover, the journal will cover natural computing in a very broad scope. Thus, e.g., the subarea of evolutionary algorithms will cover also very active research on the boundary of biology and computer science which views the evolution as a computational process, and the subarea of neural networks will also cover computational trends in brain research.

The journal is soliciting papers on all aspects of natural computing. Because of the interdisciplinary character of the journal a special effort will be made to solicit survey, review, and tutorial papers which would make research trends in a given subarea more accessible to the broad audience of the journal."
NEW GENERATION COMPUTING,"The journal is specially intended to support the development of new computational and cognitive paradigms stemming from the cross-fertilization of various research fields. These fields include, but are not limited to, programming (logic, constraint, functional, object-oriented), distributed/parallel computing, knowledge-based systems, agent-oriented systems, and cognitive aspects of human embodied knowledge. It also encourages theoretical and/or practical papers concerning all types of learning, knowledge discovery, evolutionary mechanisms, human cognition and learning, and emergent systems that can lead to key technologies enabling us to build more complex and intelligent systems. The editorial board hopes that New Generation Computing will work as a catalyst among active researchers with broad interests by ensuring a smooth publication process.

Major Fields
Learning: Foundations and Models of Learning, Computational Learning Theory, Grammatical Inference, Inductive Logic Programming, Statistical Learning Methods, Bayesian Networks, Reinforcement Learning
Data Mining: Sequence and Stream Mining, Graph and Network Mining, Relational Data Mining, Data Mining Languages, Data Privacy.
Cognitive Computing: Modeling Human Knowledge, Modeling Human Problem Solving and Learning, Semantic Computing, Modeling and Analyzing Decision Making, Cognitive Architecture, Artificial General Intelligence, Human Level AI.
Programming and Semantics: Foundations and Models of Computation, Computational Logic, Programming Systems, Declarative Programming, Concurrency and Parallelism, Quantum Computing.
Control Theory of Bio- and Nano-systems: Formal Models of Molecular Systems, Computation by Token-based Systems, Non-Boolean Representations of Signals in Nature, Cellular Automata Based on Mechanisms Found in Nature.
Bio/Nano/Molecular Computing and Engineering: Molecular Robotics & Artificial Cells, DNA Nanoengineering, Molecular Computing/Programming, Self-organizing Systems.
Skill Science and Philosophy: Skills and Knowledge in Life, Communication and Social Skills, Learning of Embodied Skills and Knowledge, ?Kansei"" and Value Creation, Sports Science, Measurement and Analysis of Body Movements, Systems Theory of Body, Cognitive Approach of Skill Science, Subjective Verbalization of Proprioceptive Sense, Co-evolution of Body and Language, Symbol Grounding, Symbol Generation
Computational Social Science: Social Media, Web Services, Web Mining, Social Studies, Semantic Web, Crowdsourcing, Social Systems, Social Simulation, Virtual Lab"
PARALLEL COMPUTING,"Parallel Computing is an international journal presenting the practical use of parallel computer systems, including high performance architecture, system software, programming systems and tools, and applications. Within this context the journal covers all aspects of high-end parallel computing that use multiple nodes and/or multiple accelerators (e.g., GPUs). 
Parallel Computing features original research work, tutorial and review articles as well as novel or illustrative accounts of application experience with (and techniques for) the use of parallel computers. We also welcome studies reproducing prior publications that either confirm or disprove prior published results. Contributions can cover these technical areas: 
System software for parallel computer systems including programming languages (new languages as well as compilation techniques), operating systems (including middleware), and resource management (scheduling and load-balancing). 
Enabling software including debuggers, performance tools, and system and numeric libraries. 
General hardware (architecture) concepts, new technologies enabling the realization of such new concepts, and details of commercially available systems 
Software engineering and productivity as it relates to parallel computing 
Application or tool case studies demonstrating novel ways to achieve parallelism 
Performance measurement results on state-of-the-art systems 
Approaches to effectively utilize large-scale parallel computing including new algorithms or algorithm analysis with demonstrated relevance to real applications using existing or next generation parallel computer architectures. 
Parallel I/O systems both hardware and software 
Networking technology for support of high-speed computing demonstrating the impact of high-speed computation on parallel applications "
PERFORMANCE EVALUATION,"Performance Evaluation functions as a leading journal in the area of modeling, measurement, and evaluation of performance aspects of computing and communication systems. As such, it aims to present a balanced and complete view of the entire Performance Evaluation profession. Hence, the journal is interested in papers that focus on one or more of the following dimensions: 
Define new performance evaluation tools, including measurement and monitoring tools as well as modeling and analytic techniques
Provide new insights into the performance of computing and communication systems
Introduce new application areas where performance evaluation tools can play an important role and creative new uses for performance evaluation tools.
More specifically, common application areas of interest include the performance of: 
Resource allocation and control methods and algorithms (e.g. routing and flow control in networks, bandwidth allocation, processor scheduling, memory management)
System architecture, design and implementation
Cognitive radio
VANETs
Social networks and media
Energy efficient ICT
Energy harvesting
Data centers
Data centric networks
System reliability
System tuning and capacity planning
Wireless and sensor networks
Autonomic and self-organizing systems
Embedded systems
Network science
Further, common performance evaluation tools of interest include: 
queueing theory
scheduling theory
simulation methods
data analysis
measurement techniques (e.g. software and hardware monitors) and workload characterization
stochastic geometry
large deviations
mean-field theory
game theory and equilibrium analysis"
REAL-TIME SYSTEMS,"Real-time systems are defined as those systems in which the correctness of the system depends not only on the logical result of computations, but also on the time at which the results are produced. The journal Real-Time Systems publishes papers that concentrate on real-time computing principles and applications, which may be research papers, invited papers, project reports and case studies, standards and corresponding proposals for general discussion, and a partitioned tutorial on real-time systems as a continuing series. RTS also publishes short papers for fast publication of new high-quality ideas and correspondence articles that identify (and correct) significant errors found in published papers. 

Much of the work in building sophisticated, modern real-time systems is interdisciplinary in nature and is often found scattered throughout the primary literature. Real-Time Systems provides a single-source coverage of the state of the art in this exciting and expanding field. The editorial board, the writers and the readers of the journal are drawn from all parts of the world, from industry, and from academia. 

Papers published in Real-Time Systems cover, among others, the following topics: requirements engineering, specification and verification techniques, design methods and tools, programming languages, operating systems, scheduling algorithms, architecture, hardware and interfacing, dependability and safety, distributed and other novel architectures, wired and wireless communications, wireless sensor systems, distributed databases, artificial intelligence techniques, expert systems, and application case studies. Applications are found in command and control systems, process control, automated manufacturing, flight control, avionics, space avionics and defense systems, shipborne systems, vision and robotics, pervasive and ubiquitous computing, and in an abundance of embedded systems."
REQUIREMENTS ENGINEERING,"The journal provides a focus for the dissemination of new results about the elicitation, representation and validation of requirements of software intensive information systems or applications.  Theoretical and applied submissions are welcome, but all papers must explicitly address: 
the practical consequences of the ideas for the design of complex systems
how the ideas should be evaluated by the reflective practitioner 
The journal is motivated by a multi-disciplinary view that considers requirements not only in terms of software components specification but also in terms of activities for their elicitation, representation and agreement, carried out within an organisational and social context.  To this end, contributions are sought from fields such as software engineering, information systems, occupational sociology, cognitive and organisational psychology, human-computer interaction, computer-supported cooperative work, linguistics and philosophy for work addressing specifically requirements engineering issues.

Type of articles
Research articles
Research articles (1) present solutions for requirements-related problems that are novel or significantly improve existing solutions, or (2) evaluate existing problem situations or proposed solutions. Research articles must include some scientific means for evaluating the validity of the subject. Such means include by empirical studies, experiments, case studies, simulations, formal analyses, mathematical proofs, etc.
Research commentary
Research commentaries provide an analysis of current, and a roadmap to the future of, requirements research and practices. A literature survey is an example, which abstracts from the current state of the art and provides insightful observations, fruitful analogies, or proposes significant and novel research directions?especially for emerging or less-understood subjects. Research commentaries should be educational, provocative, or direction-setting. They must provide compelling argumentation for any conclusions drawn.
Topics
Topics include, but are not restricted to: 
Theories and models relevant to requirements engineering 
The intersection of requirements engineering with business engineering 
Elicitation techniques including ethnography and social studies, task analysis, HCI approaches, user centered approaches, participatory design, facilitation techniques, cooperative requirements engineering 
Analysis and valuation of cultural, political and organisational factors that affect requirements engineering practice 
Architecture and functions of computer-based tools and environments for requirements engineering 
Scenarios, design rationales and argumentation-based approaches 
The states of practice, including evaluations of different approaches in industrial-size projects: papers on problems in requirements 
Comprehensive reviews of current research and practice that synthesize findings not customarily integrated in the same place, and reports describing the unifying vision of research underway at particular institutions or research groups. "
SCIENCE CHINA-INFORMATION SCIENCES,"Science China Information Sciences, an academic journal cosponsored by the Chinese Academy of Sciences and the National Natural Science Foundation of China, and published by Science China Press, is committed to publishing high-quality, original results in both basic and applied research.
Science China Information Sciences is published in both print and electronic forms. It is indexed by Science Citation Index.
Categories of articles:
Reviews summarize representative results and achievements in a particular topic or an area, comment on the current state of research, and advise on the research directions. The author?s own opinion and related discussion is requested.
Research papers report on important original results in all areas of information sciences.
Brief reports present short reports in a timely manner of the latest important results."
SCIENCE OF COMPUTER PROGRAMMING,"Science of Computer Programming is dedicated to the distribution of research results in the areas of software systems development, use and maintenance, including the software aspects of hardware design.
The journal has a wide scope ranging from the many facets of methodological foundations to the details of technical issues andthe aspects of industrial practice.
The subjects of interest to SCP cover the entire spectrum of methods for the entire life cycle of software systems, including
? Requirements, specification, design, validation, verification, coding, testing, maintenance, metrics and renovation of software;
? Design, implementation and evaluation of programming languages;
? Programming environments, development tools, visualisation and animation;
? Management of the development process;
? Human factors in software, software for social interaction, software for social computing;
? Cyber physical systems, and software for the interaction between the physical and the machine;
? Software aspects of infrastructure services, system administration, and network management.
Special emphasis is given to recent trends in software development, such as software architecture, component-based software development and web-based software engineering. SCP is divided into four tracks. These are: (1) Concepts and methodology, (2) Formal techniques, (3) Experimental software technology, (4) Descriptive software technology.
1) The conceptual track is open for methodological, philosophical and sociological studies on all aspects of computer software production and usage, including ethics. Also short papers are allowed here, called viewpoints.
2) The formal track emphasizes the development and the pragmatic application of formal and semiformal techniques. Submissions which the editors consider mainly mathematical or theoretical in nature, with the preliminary consent of the authors, will formally be forwarded to the sister journal TCS.
3) The experimental track is open for expositions on implementations of and experiments with novel programming languages, systems and methods. It must be emphasized that papers describing new software tools of relevance to SCP are welcome under the strict condition that the source code of the tools is open. Moreover, the results should be reproducible and show general applicability. By means of the article type of original Software Publications also versioned software product, corpora and datasets can enter the review process and get published.
4) The descriptive track deals with observational studies of current software development practices, reporting on new languages,systems and methods, including survey reports on the various themes."
SCIENTIFIC PROGRAMMING,"Scientific Programming is a peer-reviewed, Open Access journal that provides a meeting ground for research results in, and practical experience with, software engineering environments, tools, languages, and models of computation aimed specifically at supporting scientific and engineering computing.
The journal publishes papers on language, compiler, and programming environment issues for scientific computing. Of particular interest are contributions to programming and software engineering for grid computing, high performance computing, processing very large data sets, supercomputing, visualization, and parallel computing. All languages used in scientific programming as well as scientific programming libraries are within the scope of the journal."
SEMANTIC WEB,"emantic Web has grown into a mature field of research. Its methods find innovative applications on and off the World Wide Web. Its underlying technologies have significant impact on adjacent fields of research and on industrial applications.
This new book series reports on the state of the art in foundations, methods, and applications of Semantic Web and its underlying technologies. It is a central forum for the communication of recent developments and comprises research monographs, textbooks and edited volumes on all topics related to the Semantic Web."
SIAM JOURNAL ON COMPUTING,"The SIAM Journal on Computing aims to provide coverage of the most significant work going on in the mathematical and formal aspects of computer science and nonnumerical computing. Submissions must be clearly written and make a significant technical contribution. Topics include but are not limited to analysis and design of algorithms, algorithmic game theory, data structures, computational complexity, computational algebra, computational aspects of combinatorics and graph theory, computational biology, computational geometry, computational robotics, the mathematical aspects of programming languages, artificial intelligence, computational learning, databases, information retrieval, cryptography, networks, distributed computing, parallel algorithms, and computer architecture."
SIGMOD RECORD,"The SIGMOD Record is a quarterly publication of the Special Interest Group on Management of Data (SIGMOD) of the Association for Computing Machinery (ACM). SIGMOD is dedicated to the study, development, and application of database and information technology. Toward this goal, the SIGMOD Record publishes articles, reports, and interviews to cover the most recent development in the SIGMOD community."
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology (JDMS) is a quarterly refereed archival journal devoted to advancing the practice, science, and art of modeling and simulation as it relates to the military and defense. The primary focus of the journal is to document, in a rigorous manner, technical lessons derived from practical experience. The journal will also publish work related to the advancement of defense systems modeling and simulation technology, methodology, and theory. The journal will cover all areas of the military/defense mission, maintaining a focus on the practical side of systems simulation vice pure theoretical applications.

 
The journal seeks contributions that provide in-depth descriptions of applications of modeling and simulation to defense systems and developments of new simulation-based military technologies. Methodologies and theories that demonstrate achieved, or potential, significant improvements in defense modeling and simulation practice are also welcome. Submissions will be judged for their contribution to the development of a robust and reliable knowledge base for application of validated modeling and simulation principles to defense systems. Comprehensive review and tutorial papers that explicate topics in modeling and simulation that fall within the journal aims and scope are welcome and will be reviewed both for technical quality as well as understandability to the general reader. The journal will be of prime interest to developers, researchers, educators, and managers who are interested in lessons learned from the experiences and conclusions documented in the articles."
SOFTWARE TESTING VERIFICATION & RELIABILITY,"The journal is the premier outlet for research results on the subjects of testing, verification and reliability. Readers will find useful research on issues pertaining to building better software and evaluating it.
The journal is unique in its emphasis on theoretical foundations and applications to real-world software development. The balance of theory, empirical work, and practical applications provide readers with better techniques for testing, verifying and improving the reliability of software.
The journal targets researchers, practitioners, educators and students that have a vested interest in results generated by high-quality testing, verification and reliability modeling and evaluation of software. Topics of special interest include, but are not limited to:
New criteria for software testing and verification
Application of existing software testing and verification techniques to new types of software, including web applications, web services, embedded software, aspect-oriented software, and software architectures
Model based testing
Formal verification techniques such as model-checking
Comparison of testing and verification techniques
Measurement of and metrics for testing, verification and reliability
Industrial experience with cutting edge techniques
Descriptions and evaluations of commercial and open-source software testing tools
Reliability modeling, measurement and application
Testing and verification of software security
Automated test data generation
Process issues and methods
Non-functional testing"
SOFTWARE-PRACTICE & EXPERIENCE,"Software: Practice and Experience is an internationally respected and rigorously refereed vehicle for the dissemination and discussion of practical experience with new and established software for both systems and applications. 

Articles published in the journal must be directly relevant to the design and implementation of software at all levels, from a useful programming technique all the way up to a large scale software system. As the journal?s name suggests, the focus is on practice and experience with software itself. The journal cannot and does not attempt to cover all aspects of software engineering. 
The key criterion for publication of a paper is that it makes a contribution from which other persons engaged in software design and implementation might benefit. Originality is also important. Exceptions can be made, however, for cases where apparently well-known techniques do not appear in the readily available literature. "
SoSyM ,"Software and Systems Modeling (SoSyM) is a quarterly international journal (published in English) that focuses on theoretical and practical issues pertaining to the development and application of software and system modeling languages and techniques. The aim of the journal is to publish high-quality works that further understanding of the theoretical underpinnings of modeling languages and techniques, present rigorous analyses of modeling experiences, and introduce scalable modeling techniques and processes that facilitate rigorous, efficient or economical development of software.
The journal is unique in its emphasis on theoretical foundations of modeling languages and techniques, and on rigorous analyses of ""real-world"" modeling experiences. The balance of theoretical works and works based on in-depth analyses of experiences offers insights to researchers that can inform future investigations into better modeling languages and techniques, and provides modeling practitioners with a deeper understanding of modeling languages and techniques that can lead to more effective application.
The journal targets researchers, practitioners and students who have a vested interest in results generated by high-quality modeling research and by rigorously analyzed modeling experiences. We invite authors to submit papers that discuss and analyze research challenges and experiences pertaining to software and system modeling languages, techniques, tools, practices and other facets. The following are some of the topic areas that are of special interest, but the journal publishes on a wide range of software and systems modeling concerns:
Domain-specific models and modeling standards
Model-based testing techniques
Model-based simulation techniques
Formal syntax and semantics of modeling languages such as the UML
Rigorous model-based analysis
Model composition, refinement and transformation
Software Language Engineering
Modeling Languages in Science and Engineering
Language Adaptation and Composition
Metamodeling techniques
Measuring quality of models and languages
Ontological approaches to model engineering
Generating test and code artifacts from models
Model synthesis
Methodology
Model development tool environments
Modeling Cyberphysical Systems
Data intensive modeling
Derivation of explicit models from data
Case studies and experience reports with significant modeling lessons learned
Comparative analyses of modeling languages and techniques
Scientific assessment of modeling practices"
Speech Communication,"Speech Communication is an interdisciplinary journal whose primary objective is to fulfil the need for the rapid dissemination and thorough discussion of basic and applied research results. In order to establish frameworks to inter-relate results from the various areas of the field, emphasis will be placed on viewpoints and topics of a transdisciplinary nature. The editorial policy and the technical content of the Journal are the responsibility of the Editors and the Institutional Representatives. The Institutional Representatives assist the Editors in the definition and the control of editorial policy as well as in maintaining connections with scientific associations, international congresses and regional events. The Editorial Board contributes towards the gathering of material for publication and assists the Editors in the editorial process.
Subject Coverage:
Subject areas covered in this journal include:
? Basics of oral communication and dialogue: modelling of production and perception processes; phonetics and phonology; syntax; semantics and pragmatics of speech communication; cognitive aspects.
? Models and tools for language learning: functional organisation and developmental models of human language capabilities; acquisition and rehabilitation of spoken language; speech & hearing defects and aids.
? Speech signal processing: analysis, coding, transmission, enhancement, robustness to noise.
? Models for automatic speech communication: speech recognition; language identification; speaker recognition; speech synthesis; oral dialogue.
? Development and evaluation tools: monolingual and multilingual databases; assessment methodologies; specialised hardware and software packages; field experiments; market development.
? Multimodal human computer interface: using speech I/O in combination with other modalities, e.g., gesture and handwriting.
? Forensic speech science: forensic voice comparison; forensic analysis of disputed utterances; speaker identification by earwitnesses."
STATISTICAL ANALYSIS AND DATA MINING,"Statistical Analysis and Data Mining addresses the broad area of data analysis, including data mining algorithms, statistical approaches, and practical applications. Topics include problems involving massive and complex datasets, solutions utilizing innovative data mining algorithms and/or novel statistical approaches, and the objective evaluation of analyses and solutions. Of special interest are articles that describe analytical techniques, and discuss their application to real problems, in such a way that they are accessible and beneficial to domain experts across science, engineering, and commerce.
The focus of the journal is on papers which satisfy one or more of the following criteria:
Solve data analysis problems associated with massive, complex datasets
Are application and solution oriented with a focus on solving real problems
Describe innovative data mining algorithms or novel statistical approaches
Compare and contrast techniques to solve a problem, along with an objective evaluation of the analyses and the solutions
The goals of this interdisciplinary journal are to encourage collaborations across disciplines, communication of novel data mining and statistical techniques to both novices and experts involved in the analysis of data from practical problems, and a principled evaluation of analyses and solutions.
The 21st Century has become a Century of Data, with most domains striving for useful general models for their mountains of data. Data mining and statistical analysis are amongst the most effective bodies of methodology and technology capable of producing useful general models from massive, complex datasets.
Statistical Analysis and Data Mining will be a useful resource to those solving practical problems, at the same time enabling them to benefit from ideas developed in other domains. It will be an international journal, with an interdisciplinary focus, covering areas which are becoming increasingly important, and likely to remain so in the foreseeable future."
Sustainable Computing,"Sustainable computing is a rapidly expanding research area spanning the fields of computer science and engineering, electrical engineering as well as other engineering disciplines. The aim of Sustainable Computing: Informatics and Systems (SUSCOM) is to publish the myriad research findings related to energy-aware and thermal-aware management of computing resource. Equally important is a spectrum of related research issues such as applications of computing that can have ecological and societal impacts. SUSCOM publishes original and timely research papers and survey articles in current areas of power, energy, temperature, and environment related research areas of current importance to readers. SUSCOM has an editorial board comprising prominent researchers from around the world and selects competitively evaluated peer-reviewed papers."
Swarm and Evolutionary Computation,"Swarm and Evolutionary Computation is the first peer-reviewed publication of its kind that aims at reporting the most recent research and developments in the area of nature-inspired intelligent computation based on the principles of swarm and evolutionary algorithms. It publishes advanced, innovative and interdisciplinary research involving the theoretical, experimental and practical aspects of the two paradigms and their hybridizations. Swarm and Evolutionary Computation is committed to timely publication of very high-quality, peer-reviewed, original articles that advance the state-of-the art of all aspects of evolutionary computation and swarm intelligence. Survey papers reviewing the state-of-the-art of timely topics will also be welcomed as well as novel and interesting applications. 
Topics of Interest:
Topics of interest include but are not limited to: Genetic Algorithms, and Genetic Programming, Evolution Strategies, and Evolutionary Programming, Differential Evolution, Artificial Immune Systems, Particle Swarms, Ant Colony, Bacterial Foraging, Artificial Bees, Fireflies Algorithm, Harmony Search, Artificial Life, Digital Organisms, Estimation of Distribution Algorithms, Stochastic Diffusion Search, Quantum Computing, Nano Computing, Membrane Computing, Human-centric Computing, Hybridization of Algorithms, Memetic Computing, Autonomic Computing, Self-organizing systems, Combinatorial, Discrete, Binary, Constrained, Multi-objective, Multi-modal, Dynamic, and Large-scale Optimization.
Applications:
Furthermore, the journal fosters industrial uptake by publishing interesting and novel applications in fields and industries dealing with challenging search and optimization problems from domains such as (but not limited to): Aerospace, Systems and Control, Robotics, Power Systems, Communication Engineering, Operations Research and Decision Sciences, Financial Services and Engineering, (Management) Information Systems, Business Intelligence, internet computing, Sensors, Image Processing, Computational Chemistry, Manufacturing, Structural and Mechanical Designs, Bioinformatics, Computational Biology, Mathematical and Computational Psychology, Cognitive Neuroscience, Brain-computer Interfacing, Future Computing Devices, Nonlinear statistical and Applied Physics, and Environmental Modeling and Software."
SWARM INTELLIGENCE,"Swarm Intelligence is the principal peer-reviewed publication dedicated to reporting on research
and developments in the multidisciplinary field of swarm intelligence. The journal publishes
original research articles and occasional review articles on theoretical, experimental and/or
practical aspects of swarm intelligence. All articles are published both in print and in electronic
form. There are no page charges for publication. Swarm Intelligence is published quarterly.
 
The field of swarm intelligence deals with systems composed of many individuals that coordinate
using decentralized control and self-organization. In particular, it focuses on the collective
behaviors that result from the local interactions of the individuals with each other and with their
environment. It is a fast-growing field that encompasses the efforts of researchers in multiple
disciplines, ranging from ethology and social science to operations research and computer
engineering.
 
Swarm Intelligence will report on advances in the understanding and utilization of swarm
intelligence systems, that is, systems that are based on the principles of swarm intelligence. The
following subjects are of particular interest to the journal:
 
? modeling and analysis of collective biological systems such as social insect colonies, flocking
vertebrates, and human crowds as well as any other swarm intelligence systems;
 
? application of biological swarm intelligence models to real-world problems such as distributed
computing, data clustering, graph partitioning, optimization and decision making;
 
? theoretical and empirical research in ant colony optimization, particle swarm optimization,
swarm robotics, and other swarm intelligence algorithms."
The Journal of Logic and Algebraic Programming,"The Journal of Logic and Algebraic Programming is an international journal whose aim is to publish original research papers, survey and review articles, tutorial expositions, and historical studies in the areas of logical and algebraic methods and techniques for programming in its broadest sense. All aspects will be covered, especially theory and foundations, implementation issues, and applications involving novel ideas.
Topics of interest to the journal include: 
? Logic programming
? Constraint programming
? Abstract data types
? Classes and objects
? Components
? Process algebra and pi-calculus
? Term rewriting
? Lambda calculus
? Algebraic specification and verification of systems
? Algebraic methods for syntax and semantics
? Applications of algebras, categories, domains, topological spaces and co-algebras to programming
? Applications of proof theory and model theory to programming
? Programming with topological data types"
THEORETICAL COMPUTER SCIENCE,"Theoretical Computer Science is mathematical and abstract in spirit, but it derives its motivation from practical and everyday computation. Its aim is to understand the nature of computation and, as a consequence of this understanding, provide more efficient methodologies. All papers introducing or studying mathematical, logic and formal concepts and methods are welcome, provided that their motivation is clearly drawn from the field of computing. 
Papers published in Theoretical Computer Science are grouped in three sections according to their nature. The first section `Algorithms, automata, complexity and games' is devoted to the study of algorithms and their complexity using analytical, combinatorial or probabilistic methods. It includes the whole field of abstract complexity (i.e. all the results about the hierarchies that can be defined using Turing machines), the whole field of automata and language theory (including automata on infinite words and infinitary languages), the whole field of geometrical (graphic) applications and the whole field of measurement of system performance using statistical methods. 
The second section,`Logic, semantics and theory of programming', is devoted to formal methods to check properties of programs or implement formally described languages; it contains all papers dealing with semantics of sequential and parallel programming languages. All formal methods treating these problems are published in this section, including rewriting techniques, abstract data types, automatic theorem proving, calculi such as SCP or CCS, Petri nets, new logic calculi and developments in categorical methods.
The third section, 'Natural Computing', is devoted to the study of computing occurring in nature and computing inspired by nature. In the rapidly evolving field of computer science, natural computing plays an important role as the catalyst for the synergy of human designed computing with the computing going on in nature. This synergy leads to a deeper and broader understanding of the nature of computation. Although natural computing is concerned also with experiments and applications, this section of Theoretical Computer Science is focused on the theoretical aspects of natural computing with clear relevance to computing. Among others, it will contain papers dealing with the theoretical issues in evolutionary computing, neural networks, molecular computing, and quantum computing."
Theory of Computing Systems,"TOCS is devoted to publishing original research from all areas of theoretical computer science, ranging from foundational areas such as computational complexity, to fundamental areas such as algorithms and data structures, to focused areas such as parallel and distributed algorithms and architectures. Topics include theoretical aspects of the following items:
 
?         Algebraic methods
?         Algorithmic game theory
?         Algorithmic information theory 
?         Algorithms and data structures
?         Analysis of algorithms
?         Applied graph theory
?         Approximate algorithms for hard problems
?         Approximation algorithms
?         Automata
?         Formal languages
?         Combinatorial pattern matching
?         Communication networks
?         Complexity and computability theory
?         Computational and algorithmic learning theory
?         Computational biology
?         Computational complexity
?         Computational geometry
?         Computational molecular biology
?         Computational science 
?         Cryptography and security
?         Data compression algorithms
?         Data mining
?         Data structures
?         Database theory
?         Distributed algorithms
?         Distributed computing
?         Dynamic data structures
?         Effective mathematics
?         Exact algorithms
?         External memory algorithms
?         Graph algorithms
?         Kolmogorov complexity
?         Logic in computer science
?         Machine learning
?         Machine-based complexity theory
?         Mobile computing
?         Models of computation
?         Molecular computation
?         Networks
?         Parallel and distributed computing
?         Physics and computation
?         Program checking
?         Property testing
?         Quantum computing
?         Randomized algorithms
?         Routing, broadcasting, searching
?         String algorithms
?         Text indexing
?         Theoretical aspects of parallel algorithms and architectures of networks
?         Theory of communication networks
?         Theory of concurrent systems"
THEORY OF COMPUTING,"Application and Theory of Computer Technology (ATCT) is a peer-reviewed open access journal (ISSN 2514-1694) which is dedicated to the latest advancement of Computer Technology and publishes high quality theoretical and applied research from scientific research to application development. ATCT is published online and print monthly. The article being submitted should be English. ATCT emphasizes on efficient and effective Computer Technology, and provides a central forum for a deeper understanding in the discipline by encouraging the quantitative comparison and performance evaluation of the emerging components of these domains. The aim of ATCT is to provide a platform for scientists and academicians all over the world to promote, share and discuss various new issues and developments in different areas of application and theory of computer technology. Multidisciplinary types of articles are also encouraged in this journal which brings together articles from multiple technical backgrounds.
The journal publishes original papers including but not limited to the following fields:
Computer Technology & Applications
Computer Engineering & Applications
Computer Science & Applications
Information Technology
Data Structures
Cloud Computing
Artificial Intelligence and Intelligent System
Software Design and Architecture
Software Reliability and Performance Engineering
Software Engineering and Theory of Computation
Software Product Line Development
Mathematical Foundation and Algorithm Design
Software Testing
Optimization Techniques
Database Administration
Data Management
Data Mining Techniques
Complex Database Systems
Information Theory
Information Systems Applications
Information Systems Analysis and Design
Management of Software Development
Advanced Enterprise Web Solutions
Web Application Development
Advanced Business Application Programming
Advanced Application Development Techniques
Enterprise Application Integration
Internet and Web Based Technologies
Cryptology
Cryptography
Information Security Management
Business Intelligence
Computing System
Computational Numerical Methods
Service Oriented Architecture
Service Management
Parallel Programming
Parallel Algorithms
Multicore Programming
Requirements Engineering
Concurrent Programming
Business Process Management
Mobile Computing
Enterprise Web Solutions
Open Source Development Techniques"
